LR,0.31,0.33
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.01,0.48,-0.02,0.42,1.12
shap,0.56,0.6000000000000001,0.9,0.47000000000000003,0.01
shapr,0.51,0.7000000000000001,0.9400000000000001,0.49,0.0
brutekernelshap,0.56,0.63,0.91,0.49,0.01
maple,0.56,0.61,0.92,0.51,0.01
lime,0.6000000000000001,0.62,0.89,0.46,0.04
l2x,-0.07,0.45,-0.02,0.4,0.17


DTREE,0.00,0.05
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.48,-0.0,0.4,1.22
shap,0.36,0.48,0.91,0.44,0.01
shapr,0.33,0.52,0.93,0.43,0.0
brutekernelshap,0.23,0.47000000000000003,0.72,0.42,0.07
maple,0.38,0.48,0.73,0.44,0.1
lime,0.44,0.47000000000000003,0.81,0.43,0.06
l2x,0.01,0.43,-0.06,0.42,0.22


MLP,0.13,0.17
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.07,0.46,-0.04,0.44,1.13
shap,0.58,0.62,0.92,0.45,0.01
shapr,0.59,0.66,0.9500000000000001,0.47000000000000003,0.0
brutekernelshap,0.48,0.58,0.91,0.46,0.01
maple,0.52,0.6000000000000001,0.88,0.45,0.06
lime,0.7000000000000001,0.6000000000000001,0.87,0.43,0.04
l2x,0.06,0.4,-0.11,0.43,0.18


