LR,0.00,0.00
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.13,0.42,-0.05,0.42,1.15
shap,0.49,0.53,0.86,0.43,0.02
shapr,0.39,0.56,0.88,0.46,0.01
brutekernelshap,0.47000000000000003,0.53,0.88,0.45,0.02
maple,0.48,0.52,0.89,0.42,0.02
lime,0.52,0.52,0.84,0.43,0.05
l2x,-0.02,0.41000000000000003,0.03,0.4,0.22


DTREE,0.00,0.07
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.09,0.45,-0.03,0.4,1.23
shap,0.28,0.49,0.81,0.43,0.02
shapr,0.28,0.49,0.81,0.42,0.0
brutekernelshap,0.30000000000000004,0.52,0.6900000000000001,0.42,0.04
maple,0.19,0.51,0.72,0.41000000000000003,0.02
lime,0.30000000000000004,0.5,0.73,0.41000000000000003,0.05
l2x,0.07,0.41000000000000003,-0.03,0.41000000000000003,0.21


MLP,0.00,0.01
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.06,0.43,-0.05,0.42,1.09
shap,0.42,0.55,0.86,0.44,0.02
shapr,0.39,0.5700000000000001,0.87,0.44,0.01
brutekernelshap,0.42,0.56,0.87,0.44,0.02
maple,0.46,0.53,0.86,0.43,0.02
lime,0.43,0.52,0.8200000000000001,0.41000000000000003,0.05
l2x,0.05,0.38,-0.12,0.38,0.2


