LR,0.72,0.71
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.06,0.47000000000000003,0.08,0.46,1.0
shap,0.11,0.52,0.79,0.52,0.02
shapr,0.02,0.51,0.8300000000000001,0.52,0.0
brutekernelshap,0.06,0.54,0.8200000000000001,0.5,0.02
maple,0.05,0.56,0.8200000000000001,0.52,0.02
lime,-0.01,0.5,0.8,0.5,0.06
l2x,-0.06,0.49,0.14,0.46,0.09


DTREE,0.00,0.13
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,0.05,0.44,-0.07,0.45,1.23
shap,0.08,0.5,0.5700000000000001,0.5,0.02
shapr,0.05,0.49,0.71,0.52,0.01
brutekernelshap,0.02,0.51,0.37,0.48,0.03
maple,-0.18,0.49,0.51,0.51,0.24
lime,0.12,0.46,0.47000000000000003,0.52,0.17
l2x,0.04,0.48,0.04,0.46,0.22


MLP,0.06,0.04
,roar_faithfulness,roar_monotonicity,faithfulness,monotonicity,shapley
random,-0.04,0.46,-0.01,0.47000000000000003,1.17
shap,0.13,0.54,0.59,0.5,0.03
shapr,0.06,0.52,0.76,0.51,0.01
brutekernelshap,0.03,0.51,0.30000000000000004,0.47000000000000003,0.04
maple,-0.27,0.52,0.43,0.56,0.18
lime,0.1,0.51,0.38,0.52,0.15
l2x,-0.02,0.48,0.13,0.44,0.19


